"Core_assignment","texture","treatment","sat_level","se","se_C","flux_co2_nmol_gC_s","flux_nmol_gC_s"
"Soil_100_D","SCL","Drying",75,0.000961605537192289,0.0115291757238751,0.237914440091473,"0.238 ± 0.012 *"
"Soil_100_W","SCL","Wetting",75,0.00322019581401836,0.0386102596070831,0.78628953568321,"0.786 ± 0.039 "
"Soil_50_D","SCL","Drying",35,0.0009230560837179,0.01106705410399,0.237126198547007,"0.237 ± 0.011 *"
"Soil_50_W","SCL","Wetting",35,0.00201447639529239,0.024155083285844,0.336638429753175,"0.337 ± 0.024 "
"Soil_75_D","SCL","Drying",50,0.000750514511810832,0.00899936500416032,0.139025966227821,"0.139 ± 0.009 *"
"Soil_75_W","SCL","Wetting",50,0.00206251124576437,0.0247323739043415,0.412504894823162,"0.413 ± 0.025 "
"Soil_dry_D","SCL","Drying",5,3.76865530617166e-05,0.000451878992691385,0.00672288711785837,"0.007 ± 0 *"
"Soil_dry_W","SCL","Wetting",5,2.2817201096992e-05,0.000273597980019568,0.00406703053993708,"0.004 ± 0 "
"Soil_fm","SCL","FM",NA,0.000458848591060169,0.00550167301565046,0.0957335741359122,"0.096 ± 0.006 "
"Soil_sand_100_D","SL","Drying",35,0.000371290127384566,0.00668967034299452,0.126867216181436,"0.127 ± 0.007 *"
"Soil_sand_100_W","SL","Wetting",35,0.000750647183008389,0.0135627982075915,0.26636936554031,"0.266 ± 0.014 "
"Soil_sand_50_D","SL","Drying",50,0.000544454065988162,0.00982244080549778,0.277449037456473,"0.277 ± 0.01 "
"Soil_sand_50_W","SL","Wetting",50,0.000933909582982739,0.0168608141775743,0.256850850184151,"0.257 ± 0.017 "
"Soil_sand_75_D","SL","Drying",75,0.000876429333778915,0.0158099508093316,0.370787311865001,"0.371 ± 0.016 *"
"Soil_sand_75_W","SL","Wetting",75,0.00201123198173993,0.0362608725212301,0.641988630737437,"0.642 ± 0.036 "
"Soil_sand_dry_D","SL","Drying",5,5.48114748873801e-05,0.000989393896872211,0.00907500622428632,"0.009 ± 0.001 "
"Soil_sand_dry_W","SL","Wetting",5,4.5262205901707e-05,0.000816634323072763,0.00933507952670882,"0.009 ± 0.001 "
"Soil_sand_fm","SL","FM",NA,0.000409671869055379,0.00738385768468268,0.121107973283362,"0.121 ± 0.007 "
"Soil_sand_sat_D","SL","Drying",100,0.000697140809097259,0.0125822212346569,0.320072651442977,"0.32 ± 0.013 *"
"Soil_sand_sat_W","SL","Wetting",100,0.00125263853079777,0.0225890303120656,0.489874416560733,"0.49 ± 0.023 "
"Soil_sat_D","SCL","Drying",100,0.000869956779658514,0.0104320252330118,0.290261225236927,"0.29 ± 0.01 *"
"Soil_sat_W","SCL","Wetting",100,0.003275656433172,0.0392814498830048,0.754413782606692,"0.754 ± 0.039 "
